11:48:25.820 [main] INFO  mate.academy.Main - Application started
11:48:25.825 [main] INFO  mate.academy.Main - Attempting to log in user with login: bob
11:48:25.825 [main] INFO  mate.academy.service.AuthenticationServiceImpl - Login method was called. Login: bob
11:48:25.825 [main] INFO  mate.academy.service.AuthenticationServiceImpl - Executing database query 'findByLogin'. Login: bob
11:48:25.825 [main] INFO  mate.academy.service.AuthenticationServiceImpl - Returning user for login 'bob': id=2
11:48:25.826 [main] INFO  mate.academy.Main - User logged in successfully: id=2, login=bob
11:48:25.826 [main] INFO  mate.academy.Main - Starting to complete order for user id=2
11:48:25.826 [main] INFO  mate.academy.service.OrderServiceImpl - CompleteOrder method was called by user with id: 2
11:48:25.826 [main] INFO  mate.academy.service.OrderServiceImpl - Fetching products from shopping cart for user ID: 2
11:48:25.835 [main] INFO  mate.academy.service.OrderServiceImpl - Retrieved 3 products from shopping cart for user ID: 2
11:48:25.835 [main] INFO  mate.academy.Main - Order completed for user id=2
11:48:25.835 [main] INFO  mate.academy.Main - Application finished
